Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2023-02-26T22:30:00,136.36,2023-03-03T21:45:00,135.85,,1,-0.370,-0.369%,114.327
2023-03-05T22:30:00,135.95,2023-03-06T12:00:00,136.16,,1,0.153,0.154%,114.462
2023-03-06T15:30:00,135.83,2023-03-06T15:45:00,135.78,,1,-0.036,-0.036%,114.406
2023-03-06T22:00:00,135.89,2023-03-07T03:15:00,135.97,,-1,-0.054,-0.054%,114.332
2023-03-07T13:45:00,136.12,2023-03-10T21:45:00,135.13,,1,-0.736,-0.730%,113.576
2023-03-12T22:30:00,134.35,2023-03-15T10:00:00,134.20,,1,-0.113,-0.112%,113.449
2023-03-15T20:00:00,133.20,2023-03-16T09:15:00,132.71,,-1,0.369,0.368%,113.799
2023-03-16T10:15:00,132.89,2023-03-17T20:45:00,131.91,,1,-0.741,-0.736%,113.036
2023-03-19T21:30:00,131.69,2023-03-24T20:45:00,130.71,,1,-0.744,-0.739%,112.277
2023-03-26T21:30:00,130.55,2023-03-30T17:00:00,132.38,,1,1.385,1.404%,113.647
2023-03-30T23:00:00,132.87,2023-03-31T13:45:00,133.04,,-1,-0.126,-0.126%,113.521
2023-03-31T17:30:00,132.88,2023-03-31T20:45:00,132.78,,1,-0.075,-0.075%,113.425
2023-04-02T21:30:00,133.26,2023-04-03T11:45:00,132.93,,1,-0.253,-0.252%,113.153
2023-04-03T21:45:00,132.42,2023-04-06T20:45:00,131.79,,1,-0.477,-0.475%,112.656
2023-04-09T21:30:00,132.14,2023-04-10T09:30:00,132.09,,1,-0.036,-0.036%,112.602
2023-04-10T14:15:00,133.66,2023-04-10T14:30:00,133.75,,-1,-0.064,-0.064%,112.518
2023-04-10T21:15:00,133.51,2023-04-11T13:15:00,133.13,,-1,0.288,0.288%,112.786
2023-04-11T14:30:00,133.38,2023-04-12T04:15:00,133.86,,1,0.361,0.362%,113.126
2023-04-12T10:45:00,133.66,2023-04-12T16:30:00,133.13,,1,-0.396,-0.394%,112.712
2023-04-13T01:30:00,133.10,2023-04-14T20:45:00,133.77,,1,0.500,0.503%,113.193
2023-04-16T21:30:00,133.81,2023-04-20T08:15:00,134.59,,1,0.580,0.583%,113.755
2023-04-20T08:45:00,134.58,2023-04-20T12:00:00,134.66,,1,0.059,0.059%,113.798
2023-04-21T00:00:00,134.00,2023-04-21T06:00:00,133.80,,-1,0.149,0.149%,113.927
2023-04-23T23:45:00,133.96,2023-04-25T17:15:00,133.76,,-1,0.152,0.152%,114.058
2023-04-25T19:00:00,133.59,2023-04-28T18:15:00,136.18,,1,1.908,1.945%,115.946
2023-04-30T21:30:00,136.22,2023-05-01T16:15:00,137.40,,-1,-0.860,-0.867%,115.103
2023-05-01T23:15:00,137.50,2023-05-01T23:30:00,137.50,,-1,0.001,0.001%,115.077
