Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2024-04-24T07:30:00,154.90,2024-04-26T08:00:00,155.45,Stop,1,0.355,0.356%,141.140
2024-04-26T08:15:00,156.32,2024-04-26T20:45:00,158.20,,1,1.188,1.203%,142.310
2024-04-28T21:30:00,157.83,2024-04-29T01:30:00,160.00,Stop,1,1.357,1.376%,143.661
2024-04-29T01:45:00,159.15,2024-04-29T04:00:00,158.12,Stop,1,-0.649,-0.645%,143.010
2024-04-29T04:15:00,158.08,2024-04-29T04:15:00,156.81,Stop,1,-0.806,-0.800%,141.378
2024-04-29T04:30:00,157.14,2024-04-29T04:30:00,155.88,Stop,1,-0.806,-0.800%,140.558
2024-04-29T04:45:00,155.73,2024-04-29T05:00:00,155.05,Stop,1,-0.435,-0.433%,140.920
2024-04-29T05:15:00,155.59,2024-04-29T07:00:00,155.77,Stop,1,0.117,0.117%,141.018
2024-04-29T07:15:00,155.49,2024-04-30T15:00:00,157.34,,1,1.171,1.185%,142.169
2024-04-30T16:30:00,157.53,2024-04-30T18:45:00,157.66,,1,0.078,0.078%,142.241
2024-05-01T04:30:00,157.87,2024-05-01T08:30:00,157.95,,1,0.048,0.048%,142.269
2024-05-01T09:00:00,157.95,2024-05-01T11:30:00,157.89,,1,-0.041,-0.041%,142.209
2024-05-01T11:45:00,157.89,2024-05-01T20:00:00,156.23,Stop,1,-1.061,-1.050%,141.127
2024-05-01T20:15:00,156.08,2024-05-03T12:30:00,151.97,Stop,1,-2.708,-2.636%,138.411
2024-05-03T12:45:00,152.23,2024-05-03T20:45:00,152.90,,1,0.435,0.437%,138.897
2024-05-05T21:30:00,152.82,2024-05-08T07:30:00,155.27,,1,1.580,1.606%,140.460
2024-05-08T22:00:00,155.50,2024-05-09T14:00:00,155.65,,1,0.094,0.094%,140.559
2024-05-10T09:00:00,155.72,2024-05-10T09:15:00,155.68,,1,-0.024,-0.024%,140.515
2024-05-10T10:45:00,155.75,2024-05-10T11:45:00,155.74,,1,-0.012,-0.012%,140.484
2024-05-10T12:15:00,155.75,2024-05-10T14:15:00,155.77,,1,0.013,0.013%,140.477
2024-05-10T14:30:00,155.84,2024-05-10T20:45:00,155.77,,1,-0.044,-0.044%,140.414
2024-05-12T21:30:00,155.65,2024-05-13T15:00:00,155.92,,1,0.169,0.170%,140.563
2024-05-14T01:15:00,156.43,2024-05-14T01:30:00,156.43,,-1,0.001,0.001%,140.544
2024-05-14T01:45:00,156.43,2024-05-14T14:00:00,156.35,,-1,0.052,0.052%,140.576
2024-05-14T15:15:00,156.39,2024-05-14T15:45:00,156.50,,-1,-0.065,-0.065%,140.490
2024-05-14T16:30:00,156.51,2024-05-14T16:45:00,156.47,,-1,0.027,0.027%,140.498
2024-05-14T17:00:00,156.48,2024-05-17T20:45:00,155.70,,-1,0.498,0.495%,140.976
2024-05-19T21:30:00,155.64,2024-05-24T20:45:00,156.94,,-1,-0.827,-0.834%,140.126
2024-05-26T21:30:00,156.92,2024-05-31T20:45:00,157.28,,-1,-0.230,-0.230%,139.870
2024-06-02T21:30:00,157.20,2024-06-07T12:30:00,156.72,Stop,-1,0.309,0.308%,140.158
2024-06-07T12:45:00,156.68,2024-06-07T20:45:00,156.75,,-1,-0.041,-0.041%,140.096
2024-06-09T21:30:00,156.72,2024-06-10T14:00:00,156.90,,-1,-0.110,-0.110%,139.967
2024-06-10T18:45:00,157.02,2024-06-12T00:15:00,157.19,,1,0.107,0.107%,140.053
2024-06-12T01:30:00,157.13,2024-06-12T01:45:00,157.12,,1,-0.007,-0.007%,140.027
2024-06-12T13:45:00,155.89,2024-06-12T14:00:00,155.78,,1,-0.069,-0.069%,139.938
2024-06-12T14:45:00,155.87,2024-06-12T17:45:00,155.86,,1,-0.010,-0.010%,139.908
2024-06-13T06:00:00,157.08,2024-06-13T13:00:00,157.03,,-1,0.035,0.035%,139.923
2024-06-13T14:00:00,157.18,2024-06-13T20:15:00,157.03,,1,-0.095,-0.095%,139.808
2024-06-14T04:30:00,157.85,2024-06-14T15:45:00,157.16,,-1,0.438,0.436%,140.226
2024-06-14T18:30:00,157.29,2024-06-14T20:45:00,157.37,,-1,-0.047,-0.047%,140.157
2024-06-16T21:30:00,157.37,2024-06-17T07:15:00,157.42,,-1,-0.029,-0.029%,140.107
2024-06-17T07:45:00,157.51,2024-06-17T08:00:00,157.55,,-1,-0.029,-0.029%,140.059
2024-06-17T08:15:00,157.59,2024-06-17T08:45:00,157.62,,-1,-0.023,-0.023%,140.016
2024-06-17T09:15:00,157.66,2024-06-19T00:00:00,157.87,,-1,-0.136,-0.136%,139.860
2024-06-19T06:15:00,157.78,2024-06-19T06:45:00,157.71,,-1,0.042,0.042%,139.882
2024-06-21T07:15:00,158.97,2024-06-21T17:30:00,159.59,,1,0.392,0.394%,140.254
2024-06-21T18:30:00,159.58,2024-06-21T20:45:00,159.73,,1,0.094,0.094%,140.330
2024-06-23T21:30:00,159.75,2024-06-23T21:45:00,159.67,,1,-0.049,-0.049%,140.260
2024-06-24T11:00:00,159.51,2024-06-26T13:15:00,160.28,,-1,-0.485,-0.488%,139.755
2024-06-26T13:30:00,160.56,2024-06-28T20:45:00,160.88,,-1,-0.200,-0.200%,139.533
2024-06-30T21:30:00,160.88,2024-07-01T00:15:00,160.89,,-1,-0.006,-0.006%,139.507
2024-07-01T12:30:00,161.26,2024-07-01T13:00:00,161.35,,1,0.058,0.058%,139.545
2024-07-01T13:45:00,161.30,2024-07-01T14:00:00,161.34,,1,0.029,0.029%,139.554
2024-07-01T15:00:00,161.65,2024-07-01T15:15:00,161.63,,1,-0.017,-0.017%,139.517
2024-07-01T16:00:00,161.56,2024-07-01T16:15:00,161.49,,1,-0.038,-0.038%,139.458
2024-07-01T16:30:00,161.48,2024-07-01T20:15:00,161.47,,1,-0.007,-0.007%,139.431
2024-07-02T03:00:00,161.62,2024-07-03T13:30:00,161.63,,-1,-0.009,-0.009%,139.402
2024-07-03T20:45:00,161.70,2024-07-03T21:00:00,161.65,,-1,0.035,0.035%,139.417
2024-07-03T21:15:00,161.64,2024-07-03T21:30:00,161.60,,-1,0.021,0.021%,139.419
2024-07-03T22:00:00,161.54,2024-07-04T00:00:00,161.59,,-1,-0.027,-0.027%,139.371
2024-07-04T01:30:00,161.41,2024-07-05T20:45:00,160.80,,-1,0.378,0.377%,139.729
2024-07-07T21:30:00,160.71,2024-07-11T12:30:00,159.91,Stop,-1,0.500,0.498%,140.208
2024-07-11T12:45:00,158.77,2024-07-11T23:15:00,157.78,Stop,-1,0.623,0.620%,140.809
2024-07-11T23:30:00,158.02,2024-07-11T23:30:00,159.29,Stop,-1,-0.794,-0.800%,139.182
2024-07-11T23:45:00,159.30,2024-07-12T20:45:00,157.89,,-1,0.893,0.885%,140.859
2024-07-14T21:30:00,158.16,2024-07-18T14:00:00,156.59,,-1,1.003,0.993%,141.834
2024-07-18T14:15:00,156.66,2024-07-18T14:45:00,156.53,,-1,0.079,0.079%,141.883
2024-07-19T08:30:00,157.19,2024-07-19T09:00:00,157.26,,-1,-0.042,-0.042%,141.821
2024-07-19T09:15:00,157.17,2024-07-19T20:45:00,157.48,,-1,-0.196,-0.197%,141.605
2024-07-21T21:30:00,157.37,2024-07-22T06:15:00,156.68,,-1,0.444,0.442%,142.029
2024-07-23T04:15:00,156.32,2024-07-23T04:30:00,156.29,,-1,0.020,0.020%,142.027
2024-07-23T04:45:00,156.21,2024-07-23T10:15:00,156.08,,-1,0.085,0.085%,142.092
2024-07-23T10:30:00,156.13,2024-07-23T10:45:00,156.07,,-1,0.040,0.040%,142.111
2024-07-23T11:00:00,156.05,2024-07-23T11:45:00,156.16,,-1,-0.070,-0.070%,142.022
2024-07-23T13:15:00,156.06,2024-07-23T13:45:00,156.11,,-1,-0.028,-0.028%,141.974
2024-07-23T19:00:00,155.63,2024-07-24T11:15:00,154.42,,-1,0.784,0.778%,142.738
2024-07-24T12:00:00,154.19,2024-07-24T18:30:00,153.93,,-1,0.170,0.170%,142.882
2024-07-24T20:15:00,153.99,2024-07-26T20:45:00,153.79,,-1,0.129,0.129%,142.991
2024-07-28T21:30:00,153.76,2024-07-30T12:00:00,154.88,,-1,-0.724,-0.730%,142.246
2024-07-30T12:15:00,154.93,2024-07-30T12:30:00,154.97,,-1,-0.025,-0.025%,142.196
2024-07-30T13:45:00,154.43,2024-07-30T14:00:00,154.32,,-1,0.070,0.070%,142.246
2024-07-30T15:45:00,153.93,2024-07-31T01:30:00,152.33,,-1,1.050,1.039%,143.276
2024-07-31T05:15:00,152.63,2024-07-31T05:30:00,152.86,,-1,-0.154,-0.155%,143.090
2024-07-31T05:45:00,153.09,2024-07-31T06:15:00,152.82,,-1,0.176,0.176%,143.246
2024-07-31T06:30:00,152.74,2024-07-31T19:30:00,149.88,,-1,1.905,1.870%,145.131
2024-08-01T07:45:00,150.03,2024-08-01T08:00:00,149.86,,1,-0.113,-0.113%,144.963
2024-08-01T12:00:00,150.52,2024-08-01T12:15:00,150.69,,-1,-0.108,-0.108%,144.835
2024-08-01T13:45:00,150.61,2024-08-02T12:30:00,147.43,Stop,-1,2.159,2.114%,146.974
2024-08-02T12:45:00,147.28,2024-08-02T13:45:00,147.41,,-1,-0.085,-0.086%,146.823
2024-08-02T14:00:00,147.08,2024-08-02T14:45:00,146.66,,-1,0.285,0.284%,147.088
2024-08-02T15:00:00,146.67,2024-08-02T20:45:00,146.53,,-1,0.093,0.093%,147.160
2024-08-04T21:30:00,146.43,2024-08-05T04:15:00,142.44,Stop,-1,2.800,2.724%,149.940
2024-08-05T04:30:00,142.94,2024-08-05T13:15:00,142.49,,-1,0.316,0.315%,150.160
2024-08-05T14:30:00,143.07,2024-08-07T01:30:00,146.21,Stop,1,2.147,2.194%,152.286
2024-08-07T01:45:00,146.48,2024-08-07T07:00:00,146.58,,1,0.063,0.063%,152.376
2024-08-07T07:30:00,146.22,2024-08-07T07:45:00,146.43,,1,0.143,0.143%,152.499
2024-08-07T16:15:00,147.39,2024-08-09T20:45:00,146.66,,-1,0.495,0.493%,152.974
2024-08-11T21:30:00,146.87,2024-08-14T19:00:00,147.24,,-1,-0.257,-0.257%,152.695
2024-08-14T20:15:00,147.42,2024-08-15T12:30:00,148.74,Stop,1,0.889,0.897%,153.564
2024-08-15T12:45:00,148.76,2024-08-16T05:30:00,148.98,,1,0.145,0.145%,153.697
2024-08-16T09:15:00,148.68,2024-08-16T12:00:00,148.05,,-1,0.426,0.424%,154.103
2024-08-16T13:00:00,147.68,2024-08-16T13:15:00,147.76,,1,0.055,0.055%,154.136
2024-08-16T13:30:00,147.80,2024-08-16T13:45:00,147.89,,1,0.057,0.057%,154.173
2024-08-19T05:00:00,146.19,2024-08-19T23:15:00,146.79,,-1,-0.407,-0.408%,153.746
2024-08-20T01:15:00,146.08,2024-08-23T06:15:00,145.73,,1,-0.239,-0.238%,153.486
2024-08-23T11:15:00,146.06,2024-08-23T14:00:00,146.21,,-1,-0.102,-0.102%,153.364
2024-08-26T03:30:00,143.90,2024-08-26T16:30:00,144.54,,-1,-0.448,-0.450%,152.896
2024-08-26T19:45:00,144.57,2024-08-27T13:45:00,144.30,,1,-0.189,-0.189%,152.685
2024-08-27T18:15:00,144.06,2024-08-29T09:15:00,144.53,,-1,-0.324,-0.325%,152.341
2024-08-29T11:45:00,144.62,2024-08-30T03:15:00,144.76,,1,0.097,0.097%,152.418
2024-08-30T07:45:00,144.95,2024-08-30T20:45:00,146.20,,1,0.855,0.862%,153.253
2024-09-01T21:30:00,146.00,2024-09-04T22:45:00,143.70,,1,-1.602,-1.577%,151.638
2024-09-05T05:45:00,143.47,2024-09-05T07:00:00,143.24,,-1,0.160,0.160%,151.803
2024-09-05T08:15:00,143.71,2024-09-05T08:30:00,143.65,,-1,0.041,0.041%,151.824
2024-09-05T08:45:00,143.65,2024-09-05T11:45:00,143.54,,-1,0.082,0.082%,151.886
2024-09-05T14:15:00,143.48,2024-09-05T14:30:00,143.79,,-1,-0.214,-0.215%,151.652
2024-09-05T15:00:00,143.92,2024-09-06T08:30:00,142.67,,-1,0.879,0.871%,152.511
2024-09-09T03:30:00,142.78,2024-09-09T08:45:00,143.35,,1,0.398,0.399%,152.881
2024-09-09T09:15:00,143.41,2024-09-09T09:30:00,143.47,,1,0.048,0.048%,152.910
2024-09-09T12:15:00,143.46,2024-09-09T12:30:00,143.30,,1,-0.107,-0.107%,152.783
2024-09-10T01:15:00,143.40,2024-09-10T12:15:00,143.05,,-1,0.249,0.248%,153.012
2024-09-10T23:45:00,142.35,2024-09-11T06:30:00,141.37,,1,-0.693,-0.688%,152.299
2024-09-11T06:45:00,141.43,2024-09-11T07:00:00,141.38,,1,-0.035,-0.035%,152.248
2024-09-12T08:30:00,142.58,2024-09-12T14:15:00,142.36,,-1,0.159,0.159%,152.387
2024-09-13T05:15:00,141.17,2024-09-13T19:15:00,140.94,,-1,0.159,0.159%,152.525
2024-09-15T22:15:00,140.68,2024-09-18T15:15:00,141.95,,1,0.901,0.909%,153.406
2024-09-18T22:15:00,142.02,2024-09-20T20:45:00,143.89,,-1,-1.297,-1.314%,152.098
2024-09-22T21:30:00,143.81,2024-09-24T08:15:00,144.44,,-1,-0.437,-0.439%,151.624
2024-09-24T13:00:00,143.97,2024-09-24T13:15:00,144.10,,-1,-0.093,-0.093%,151.509
2024-09-24T13:45:00,144.16,2024-09-24T14:15:00,143.63,,-1,0.375,0.374%,151.864
2024-09-24T14:45:00,143.52,2024-09-24T15:00:00,143.67,,-1,-0.106,-0.107%,151.736
2024-09-24T21:30:00,143.18,2024-09-25T06:45:00,143.55,,1,0.258,0.258%,151.974
2024-09-25T11:30:00,144.41,2024-09-25T20:45:00,144.80,,-1,-0.271,-0.271%,151.684
2024-09-26T00:00:00,144.71,2024-09-27T06:15:00,145.02,Stop,1,0.214,0.215%,151.877
2024-09-27T06:30:00,143.86,2024-09-27T08:15:00,143.33,,1,-0.371,-0.370%,151.486
2024-09-27T11:15:00,143.30,2024-09-27T12:15:00,143.06,,-1,0.165,0.165%,151.633
2024-09-27T12:30:00,143.17,2024-09-27T13:00:00,142.52,,-1,0.453,0.451%,152.065
2024-09-27T13:45:00,142.65,2024-09-27T20:45:00,142.19,,-1,0.324,0.323%,152.367
2024-09-29T21:30:00,142.12,2024-10-02T05:00:00,143.73,,-1,-1.120,-1.133%,151.226
2024-10-02T07:15:00,144.02,2024-10-04T12:30:00,147.96,Stop,1,2.663,2.736%,153.856
2024-10-04T12:45:00,148.29,2024-10-04T20:45:00,148.71,,1,0.286,0.287%,154.195
2024-10-06T21:30:00,148.74,2024-10-11T20:45:00,149.13,,1,0.266,0.266%,154.442
2024-10-13T21:30:00,149.06,2024-10-18T20:45:00,149.52,,1,0.304,0.305%,154.727
2024-10-20T21:30:00,149.46,2024-10-25T20:45:00,152.33,,1,1.889,1.925%,156.596
2024-10-27T21:30:00,152.87,2024-11-01T20:45:00,152.99,,1,0.080,0.080%,156.692
2024-11-03T22:30:00,152.46,2024-11-08T21:45:00,152.57,,1,0.071,0.071%,156.743
2024-11-10T22:30:00,152.68,2024-11-12T13:00:00,154.07,,1,0.907,0.916%,157.631
2024-11-12T14:15:00,154.46,2024-11-12T14:30:00,154.48,,1,0.014,0.014%,157.633
2024-11-12T19:15:00,154.73,2024-11-15T21:45:00,154.38,,-1,0.227,0.227%,157.840
2024-11-17T22:30:00,154.24,2024-11-18T08:30:00,154.68,,-1,-0.284,-0.285%,157.535
2024-11-19T13:30:00,153.77,2024-11-20T08:30:00,155.63,,1,1.196,1.210%,158.710
2024-11-20T09:00:00,155.63,2024-11-20T13:00:00,155.69,,1,0.038,0.038%,158.742
2024-11-20T14:15:00,155.75,2024-11-20T14:45:00,155.67,,1,-0.054,-0.054%,158.668
2024-11-20T15:00:00,155.60,2024-11-20T15:45:00,155.30,,1,-0.191,-0.190%,158.458
2024-11-21T07:15:00,155.03,2024-11-21T07:30:00,154.68,,1,-0.227,-0.226%,158.211
2024-11-21T07:45:00,154.78,2024-11-22T03:00:00,154.39,,1,-0.252,-0.251%,157.940
2024-11-25T00:15:00,153.97,2024-11-27T01:15:00,152.91,,-1,0.696,0.692%,158.617
2024-11-27T01:30:00,152.79,2024-11-27T02:15:00,152.63,,-1,0.104,0.103%,158.696
2024-11-27T07:00:00,152.08,2024-11-27T07:15:00,152.11,,-1,-0.018,-0.018%,158.657
2024-11-27T07:45:00,151.84,2024-11-27T08:00:00,151.95,,-1,-0.070,-0.070%,158.567
2024-11-28T01:30:00,151.53,2024-11-28T07:30:00,151.60,,1,0.046,0.046%,158.592
2024-11-28T07:45:00,151.73,2024-11-28T13:15:00,151.68,,1,-0.035,-0.035%,158.537
2024-11-29T04:00:00,150.10,2024-11-29T21:45:00,149.64,,-1,0.306,0.305%,158.823
2024-12-01T22:30:00,149.63,2024-12-03T07:30:00,149.95,,-1,-0.209,-0.209%,158.594
2024-12-03T23:00:00,149.58,2024-12-04T00:15:00,149.73,,-1,-0.102,-0.102%,158.472
2024-12-04T00:30:00,149.77,2024-12-04T08:00:00,150.38,,-1,-0.408,-0.409%,158.044
2024-12-06T08:00:00,150.09,2024-12-06T08:45:00,150.32,,1,0.148,0.148%,158.170
2024-12-06T14:00:00,149.66,2024-12-06T21:45:00,149.96,,1,0.198,0.198%,158.348
2024-12-08T22:30:00,150.01,2024-12-09T00:15:00,149.94,,1,-0.046,-0.046%,158.283
2024-12-09T21:15:00,151.18,2024-12-10T04:15:00,151.07,,-1,0.072,0.072%,158.335
Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2024-12-10T13:15:00,151.76,2024-12-10T13:30:00,151.63,,-1,0.082,0.082%,100.072
2024-12-10T13:45:00,151.68,2024-12-10T14:00:00,151.68,,-1,-0.003,-0.003%,100.050
2024-12-10T14:15:00,151.66,2024-12-10T14:30:00,151.76,,-1,-0.068,-0.068%,99.962
2024-12-10T14:45:00,151.69,2024-12-10T15:00:00,151.83,,-1,-0.092,-0.092%,99.850
2024-12-10T16:30:00,152.06,2024-12-10T16:45:00,152.08,,-1,-0.011,-0.011%,99.819
2024-12-10T17:00:00,152.05,2024-12-10T17:30:00,152.08,,-1,-0.023,-0.023%,99.776
2024-12-10T18:15:00,152.00,2024-12-10T18:30:00,152.01,,-1,-0.006,-0.006%,99.750
2024-12-10T18:45:00,151.94,2024-12-10T19:00:00,151.92,,-1,0.013,0.013%,99.743
2024-12-11T13:30:00,152.58,2024-12-11T21:45:00,152.50,,1,-0.052,-0.052%,99.670
2024-12-12T09:00:00,152.50,2024-12-12T16:00:00,152.28,,1,-0.142,-0.142%,99.508
2024-12-16T07:45:00,153.56,2024-12-16T08:00:00,153.53,,-1,0.023,0.023%,99.511
2024-12-17T01:30:00,154.06,2024-12-17T02:00:00,154.10,,1,0.029,0.029%,99.519
2024-12-17T02:45:00,153.88,2024-12-17T11:15:00,153.76,,1,-0.081,-0.081%,99.419
2024-12-18T01:45:00,153.76,2024-12-18T02:00:00,153.59,,1,-0.109,-0.109%,99.290
2024-12-18T02:15:00,153.65,2024-12-18T03:45:00,153.62,,1,-0.018,-0.018%,99.252
2024-12-18T13:00:00,153.82,2024-12-18T13:15:00,153.90,,1,0.052,0.052%,99.284
2024-12-19T02:45:00,154.62,2024-12-19T03:45:00,155.19,,1,0.368,0.369%,99.632
2024-12-19T04:00:00,155.26,2024-12-19T09:45:00,156.97,,1,1.091,1.103%,100.704
2024-12-19T11:15:00,156.95,2024-12-19T11:30:00,156.93,,1,-0.018,-0.018%,100.679
2024-12-19T14:30:00,157.14,2024-12-19T14:45:00,157.31,,1,0.108,0.108%,100.767
2024-12-19T15:00:00,157.17,2024-12-19T17:15:00,157.62,,1,0.284,0.285%,101.031
2024-12-19T18:30:00,157.69,2024-12-19T18:45:00,157.66,,1,-0.016,-0.016%,100.995
2024-12-19T19:00:00,157.54,2024-12-19T23:30:00,157.56,,1,0.013,0.013%,100.989
2024-12-20T14:15:00,156.50,2024-12-20T14:30:00,156.40,,-1,0.058,0.058%,101.027
2024-12-22T22:45:00,156.45,2024-12-22T23:00:00,156.51,,-1,-0.042,-0.042%,100.965
2024-12-23T00:00:00,156.56,2024-12-23T17:45:00,157.12,,-1,-0.356,-0.358%,100.589
2024-12-23T18:00:00,157.16,2024-12-23T18:15:00,157.17,,-1,-0.008,-0.008%,100.559
2024-12-23T18:30:00,157.16,2024-12-23T20:00:00,157.10,,-1,0.038,0.038%,100.577
2024-12-24T10:15:00,157.04,2024-12-24T21:45:00,157.05,,1,0.008,0.008%,100.565
2024-12-25T22:30:00,157.26,2024-12-27T21:45:00,157.89,,1,0.396,0.398%,100.942
2024-12-29T22:30:00,157.74,2024-12-31T05:15:00,156.16,,1,-1.009,-0.999%,99.914
2024-12-31T08:00:00,156.20,2024-12-31T09:15:00,156.25,,1,0.033,0.033%,99.937
2024-12-31T13:00:00,156.89,2024-12-31T19:15:00,157.28,,1,0.248,0.249%,100.165
2025-01-02T08:00:00,156.67,2025-01-02T11:45:00,157.25,,-1,-0.366,-0.367%,99.780
2025-01-03T00:00:00,157.36,2025-01-03T00:15:00,157.34,,-1,0.010,0.010%,99.768
2025-01-03T01:00:00,157.21,2025-01-03T09:45:00,157.25,,-1,-0.025,-0.025%,99.724
2025-01-03T13:30:00,157.18,2025-01-03T21:45:00,157.34,,-1,-0.101,-0.101%,99.603
2025-01-05T22:30:00,157.19,2025-01-09T08:15:00,158.18,,-1,-0.626,-0.630%,98.957
2025-01-09T08:30:00,158.12,2025-01-10T21:45:00,157.75,,-1,0.233,0.233%,99.166
2025-01-12T22:30:00,157.72,2025-01-17T11:15:00,155.68,,-1,1.310,1.293%,100.456
2025-01-17T14:45:00,156.11,2025-01-17T15:00:00,156.04,,-1,0.041,0.041%,100.460
2025-01-17T15:45:00,156.09,2025-01-17T17:15:00,156.25,,-1,-0.108,-0.108%,100.332
2025-01-19T22:30:00,156.27,2025-01-19T23:15:00,156.34,,-1,-0.046,-0.046%,100.266
2025-01-19T23:30:00,156.50,2025-01-20T05:00:00,155.97,,-1,0.339,0.338%,100.585
2025-01-20T07:45:00,156.00,2025-01-20T08:30:00,156.16,,-1,-0.099,-0.099%,100.465
2025-01-20T09:30:00,156.22,2025-01-20T10:45:00,156.36,,-1,-0.084,-0.084%,100.361
2025-01-20T14:15:00,155.81,2025-01-20T14:45:00,155.42,,-1,0.249,0.248%,100.590
2025-01-21T12:15:00,155.90,2025-01-21T12:30:00,155.77,,-1,0.078,0.078%,100.648
2025-01-21T12:45:00,155.77,2025-01-24T21:45:00,155.88,,-1,-0.074,-0.074%,100.553
2025-01-26T22:30:00,155.71,2025-01-31T21:45:00,155.16,,-1,0.356,0.355%,100.889
2025-02-02T22:30:00,154.92,2025-02-03T21:15:00,154.73,,-1,0.120,0.120%,100.988
2025-02-03T21:45:00,154.68,2025-02-07T21:45:00,151.42,,-1,2.147,2.102%,103.115
2025-02-09T22:30:00,151.46,2025-02-14T21:45:00,152.31,,-1,-0.560,-0.563%,102.489
2025-02-16T22:30:00,152.25,2025-02-21T21:45:00,149.25,,-1,2.009,1.970%,104.476
2025-02-23T22:30:00,149.23,2025-02-28T21:45:00,150.59,,-1,-0.904,-0.913%,103.512
2025-03-02T22:30:00,150.69,2025-03-07T21:45:00,148.01,,-1,1.817,1.784%,105.300
2025-03-09T22:30:00,147.67,2025-03-14T20:45:00,148.60,,-1,-0.626,-0.630%,104.622
2025-03-16T21:30:00,148.80,2025-03-21T20:45:00,149.33,,-1,-0.356,-0.357%,104.242
2025-03-23T21:30:00,149.36,2025-03-28T20:45:00,149.83,,-1,-0.315,-0.316%,103.906
2025-03-30T21:30:00,149.69,2025-04-04T09:15:00,146.42,,-1,2.240,2.190%,106.125
2025-04-04T10:00:00,146.33,2025-04-04T10:15:00,145.91,,-1,0.289,0.288%,106.344
2025-04-04T13:45:00,145.32,2025-04-04T14:15:00,145.46,,1,0.096,0.096%,106.419
2025-04-04T16:30:00,146.16,2025-04-04T20:45:00,146.98,,-1,-0.557,-0.560%,105.842
